start,finish,label,sub
2019:11:24 19:59:40,2019:11:24 19:59:44,Standing,1
2019:11:24 19:59:44,2019:11:24 19:59:47,Walking,1
2019:11:24 19:59:47,2019:11:24 19:59:50,Downstairs,1
2019:11:24 19:59:50,2019:11:24 20:00:14,Walking,1
2019:11:24 20:00:14,2019:11:24 20:00:18,Downstairs,1
2019:11:24 20:00:18,2019:11:24 20:00:26,Walking,1
2019:11:24 20:00:26,2019:11:24 20:00:28,Downstairs,1
2019:11:24 20:00:28,2019:11:24 20:00:41,Walking,1
2019:11:24 20:00:41,2019:11:24 20:00:43,Downstairs,1
2019:11:24 20:00:43,2019:11:24 20:00:52,Walking,1
2019:11:24 20:00:52,2019:11:24 20:00:54,Downstairs,1
2019:11:24 20:00:54,2019:11:24 20:02:40,Walking,1
2019:11:24 20:02:40,2019:11:24 20:02:42,Upstairs,1
2019:11:24 20:02:42,2019:11:24 20:02:44,Walking,1
2019:11:24 20:02:44,2019:11:24 20:02:47,Upstairs,1
2019:11:24 20:02:47,2019:11:24 20:02:59,Walking,1
2019:11:24 20:02:59,2019:11:24 20:03:02,Upstairs,1
2019:11:24 20:03:02,2019:11:24 20:03:11,Walking,1
2019:11:24 20:03:11,2019:11:24 20:03:12,Upstairs,1
2019:11:24 20:03:12,2019:11:24 20:03:13,Walking,1
2019:11:24 20:03:13,2019:11:24 20:03:14,Upstairs,1
2019:11:24 20:03:14,2019:11:24 20:03:15,Walking,1
2019:11:24 20:03:15,2019:11:24 20:03:16,Upstairs,1
2019:11:24 20:03:16,2019:11:24 20:03:17,Walking,1
2019:11:24 20:03:17,2019:11:24 20:03:18,Upstairs,1
2019:11:24 20:03:18,2019:11:24 20:03:19,Walking,1
2019:11:24 20:03:19,2019:11:24 20:03:20,Upstairs,1
2019:11:24 20:03:20,2019:11:24 20:03:21,Walking,1
2019:11:24 20:03:21,2019:11:24 20:03:24,Upstairs,1
2019:11:24 20:03:24,2019:11:24 20:03:27,Walking,1
2019:11:24 20:03:27,2019:11:24 20:03:31,Upstairs,1
2019:11:24 20:03:31,2019:11:24 20:03:43,Walking,1
2019:11:24 20:03:43,2019:11:24 20:03:46,Upstairs,1
2019:11:24 20:03:46,2019:11:24 20:03:50,Walking,1
2019:11:24 20:03:50,2019:11:24 20:03:57,Upstairs,1
2019:11:24 20:03:57,2019:11:24 20:03:59,Walking,1
2019:11:24 20:03:59,2019:11:24 20:04:06,Upstairs,1
2019:11:24 20:04:06,2019:11:24 20:04:09,Walking,1
2019:11:24 20:04:09,2019:11:24 20:04:14,Upstairs,1
2019:11:24 20:04:14,2019:11:24 20:04:16,Walking,1
2019:11:24 20:04:16,2019:11:24 20:04:20,Upstairs,1
2019:11:24 20:04:20,2019:11:24 20:04:32,Walking,1
2019:11:24 20:04:32,2019:11:24 20:05:55,Sitting,1
2019:11:24 20:05:55,2019:11:24 20:06:08,Walking,1
2019:11:24 20:06:08,2019:11:24 20:06:11,Downstairs,1
2019:11:24 20:06:11,2019:11:24 20:06:12,Walking,1
2019:11:24 20:06:12,2019:11:24 20:06:17,Downstairs,1
2019:11:24 20:06:17,2019:11:24 20:06:20,Walking,1
2019:11:24 20:06:20,2019:11:24 20:06:26,Downstairs,1
2019:11:24 20:06:26,2019:11:24 20:06:28,Walking,1
2019:11:24 20:06:28,2019:11:24 20:06:33,Downstairs,1
2019:11:24 20:06:33,2019:11:24 20:06:38,Walking,1
2019:11:24 20:06:38,2019:11:24 20:06:41,Downstairs,1
2019:11:24 20:06:41,2019:11:24 20:06:53,Walking,1
2019:11:24 20:06:53,2019:11:24 20:06:56,Downstairs,1
2019:11:24 20:06:56,2019:11:24 20:07:00,Walking,1
2019:11:24 20:07:00,2019:11:24 20:07:03,Downstairs,1
2019:11:24 20:07:03,2019:11:24 20:07:12,Walking,1
2019:11:24 20:07:12,2019:11:24 20:07:21,Walking,1
2019:11:24 20:07:21,2019:11:24 20:07:24,Downstairs,1
2019:11:24 20:07:24,2019:11:24 20:07:35,Walking,1
2019:11:24 20:07:35,2019:11:24 20:07:37,Downstairs,1
2019:11:24 20:07:37,2019:11:24 20:07:39,Walking,1
2019:11:24 20:07:39,2019:11:24 20:07:41,Downstairs,1
2019:11:24 20:07:41,2019:11:24 20:09:26,Walking,1
2019:11:24 20:09:26,2019:11:24 20:09:28,Upstairs,1
2019:11:24 20:09:28,2019:11:24 20:09:37,Walking,1
2019:11:24 20:09:37,2019:11:24 20:09:40,Upstairs,1
2019:11:24 20:09:40,2019:11:24 20:09:54,Walking,1
2019:11:24 20:09:54,2019:11:24 20:09:57,Upstairs,1
2019:11:24 20:09:57,2019:11:24 20:10:04,Walking,1
2019:11:24 20:10:04,2019:11:24 20:10:10,Upstairs,1
2019:11:24 20:10:10,2019:11:24 20:10:36,Walking,1
2019:11:24 20:10:36,2019:11:24 20:10:39,Upstairs,1
2019:11:24 20:10:45,2019:11:24 20:10:48,Jogging,1
