2022-11-02
######  CNN #####
Summary of sn2
Apparent Error Rates. Row->Train Column->Test
0.167	0.204	0.237	0.214	0.265	0.218	0.268	
0.173	0.209	0.242	0.220	0.271	0.223	0.273	
0.162	0.198	0.234	0.209	0.260	0.213	0.263	
0.160	0.196	0.231	0.207	0.258	0.210	0.260	
0.167	0.202	0.239	0.213	0.265	0.217	0.267	
0.166	0.202	0.239	0.213	0.264	0.216	0.267	
0.167	0.202	0.239	0.213	0.265	0.217	0.267	


True Error Rates. Row->Train Column->Test
0.167, 0.167, 0.167	0.171, 0.154, 0.254	0.172, 0.137, 0.337	0.182, 0.164, 0.264	0.207, 0.165, 0.365	0.186, 0.168, 0.268	0.210, 0.168, 0.368	
0.173, 0.173, 0.173	0.176, 0.159, 0.259	0.178, 0.142, 0.342	0.189, 0.170, 0.270	0.214, 0.171, 0.371	0.192, 0.173, 0.273	0.217, 0.173, 0.373	
0.162, 0.162, 0.162	0.165, 0.148, 0.248	0.168, 0.134, 0.334	0.177, 0.159, 0.259	0.201, 0.160, 0.360	0.181, 0.163, 0.263	0.203, 0.163, 0.363	
0.160, 0.160, 0.160	0.162, 0.146, 0.246	0.164, 0.131, 0.331	0.174, 0.157, 0.257	0.197, 0.158, 0.358	0.178, 0.160, 0.260	0.200, 0.160, 0.360	
0.167, 0.167, 0.167	0.169, 0.152, 0.252	0.174, 0.139, 0.339	0.182, 0.163, 0.263	0.206, 0.165, 0.365	0.185, 0.167, 0.267	0.209, 0.167, 0.367	
0.166, 0.166, 0.166	0.168, 0.152, 0.252	0.174, 0.139, 0.339	0.181, 0.163, 0.263	0.205, 0.164, 0.364	0.185, 0.166, 0.266	0.208, 0.167, 0.367	
0.167, 0.167, 0.167	0.168, 0.152, 0.252	0.174, 0.139, 0.339	0.182, 0.163, 0.263	0.206, 0.165, 0.365	0.185, 0.167, 0.267	0.209, 0.167, 0.367	


CEV. Row->Train Column->Test
0.000	nan	nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	nan	nan	


SDE. Row->Train Column->Test
0.000	inf	inf	nan	nan	nan	nan	
nan	inf	inf	nan	nan	nan	nan	
nan	inf	inf	nan	nan	nan	nan	
nan	inf	inf	nan	nan	nan	nan	
nan	inf	inf	nan	nan	nan	nan	
nan	inf	inf	nan	nan	nan	nan	
nan	inf	inf	nan	nan	nan	nan	
